Airline,IATA,Key,Hex
Copa Airlines,CM,422,01A6
Canadian National Airways,CN,423,01A7
Islands Nationair,CN,424,01A8
Westward Airways,CN,425,01A9
Continental Airlines,CO,426,01AA
Continental Express,CO,427,01AB
Canadian Airlines,CP,428,01AC
Compass Airlines,CP,429,01AD
SOCHI AIR,CQ,430,01AE
Sunshine Express Airlines,CQ,431,01AF
Air Ops,CR,432,01B0
OAG,CR,433,01B1
Continental Micronesia,CS,434,01B2
Alitalia Cityliner,CT,435,01B3
Civil Air Transport,CT,436,01B4
Cubana de Aviación,CU,437,01B5
Air Chathams,CV,438,01B6
Cargolux,CV,439,01B7
Air Marshall Islands,CW,440,01B8
Cathay Pacific,CX,441,01B9
Cyprus Airways,CY,442,01BA
China Southern Airlines,CZ,443,01BB
Polar Airlines,ЯП,444,01BC
Аэросервис,АЯ,445,01BD
Domenican Airlines,D1,446,01BE
Severstal Air Company,D2,447,01BF
Daallo Airlines,D3,448,01C0
Alidaunia,D4,449,01C1
Dauair,D5,450,01C2
NEPC Airlines,D5,451,01C3
Skyline nepc,D5,452,01C4
Interair South Africa,D6,453,01C5
AirAsia X,D7,454,01C6
Dinar,D7,455,01C7
Djibouti Airlines,D8,456,01C8
Aeroflot-Don,D9,457,01C9
Air Georgia,DA,458,01CA
Dana Air,DA,459,01CB
Brit Air,DB,460,01CC
Golden Air,DC,461,01CD
Nok Air,DD,462,01CE
Condor Flugdienst,DE,463,01CF
Michael Airlines,DF,464,01D0
South East Asian Airlines,DG,465,01D1
Dennis Sky,DH,466,01D2
Discovery Airways,DH,467,01D3
Independence Air,DH,468,01D4
dba,DI,469,01D5
Pacific Blue,DJ,470,01D6
Polynesian Blue,DJ,471,01D7
Virgin Blue,DJ,472,01D8
Eastland Air,DK,473,01D9
Delta Air Lines,DL,474,01DA
Maersk,DM,475,01DB
Alinord,DN,476,01DC
Senegal Airlines,DN,477,01DD
Voronezhskie Airlanes,DN,478,01DE
Dominicana de Aviaci,DO,479,01DF
KMV,МИ,480,01E0
First Choice Airways,DP,481,01E1
Coastal Air,DQ,482,01E2
Air Mediterranee,DR,483,01E3
EasyJet (DS),DS,484,01E4
TAAG Angola Airlines,DT,485,01E5
Hemus Air,DU,486,01E6
Norwegian Long Haul AS,DU,487,01E7
Lufttaxi Fluggesellschaft,DV,488,01E8
Nantucket Airlines,DV,489,01E9
Scat Air,DV,490,01EA
Aero-Charter Ukraine,DW,491,01EB
Deutsche Luftverkehrsgesellschaft,DW,492,01EC
Deutsche Luftverkehrsgesellschaft (DLT),DW,493,01ED
DAT Danish Air Transport,DX,494,01EE
Norwegian Air Shuttle,DY,495,01EF
Starline.kz,DZ,496,01F0
Eos Airlines,E0,497,01F1
Usa Sky Cargo,E1,498,01F2
Eagle Atlantic Airlines,E2,499,01F3
Kampuchea Airlines,E2,500,01F4
Rio Grande Air,E2,501,01F5
Domodedovo Airlines,E3,502,01F6
Aero Asia International,E4,503,01F7
Elysian Airlines,E4,504,01F8
Air Arabia Egypt,E5,505,01F9
Samara Airlines,E5,506,01FA
Aviaexpresscruise,E6,507,01FB
Bringer Air Cargo Taxi Aereo,E6,508,01FC
Estafeta Carga Aerea,E7,509,01FD
European Aviation Air Charter,E7,510,01FE
Alpi Eagles,E8,511,01FF
Alpi Eagles (E8),E8,512,0200
City Airways,E8,513,0201
US Africa Airways,E8,514,0202
AJT Air International,E9,515,0203
Boston-Maine Airways,E9,516,0204
Compagnie Africaine d\\'Aviation,E9,517,0205
European Air Express,EA,518,0206
Wamos Air,EB,519,0207
Avialeasing Aviation Company,EC,520,0208
Airblue,ED,521,0209
Aero Airlines,EE,522,020A
Nordica,EE,523,020B
