Registration,Aircraft,Brand,Type,Age,Key,Hex
N933LR,Bombardier CRJ-900,Bombardier,CRJ-900,19,5632,1600
N933NK,Airbus A320neo,Airbus,A320neo,4,5633,1601
N933NN,Boeing 737-823,Boeing,737-800,11,5634,1602
N933WN,Boeing 737-7H4,Boeing,737-700,15,5635,1603
N933XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5636,1604
N934AA,Airbus A321-231,Airbus,A321-200,7,5637,1605
N934AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5638,1606
N934AN,Boeing 737-823,Boeing,737-800,24,5639,1607
N934AT,Boeing 717-200,Boeing,717-200,24,5640,1608
N934FJ,Bombardier CRJ-900,Bombardier,CRJ-900,19,5641,1609
N934JB,Airbus A321-231,Airbus,A321-200,10,5642,160A
N934NK,Airbus A320neo,Airbus,A320neo,4,5643,160B
N934NN,Boeing 737-823,Boeing,737-800,11,5644,160C
N934WN,Boeing 737-7H4,Boeing,737-700,15,5645,160D
N934XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5646,160E
N935AE,Embraer EMB-145LR,Embraer,EMB-145LR,19,5647,160F
N935AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5648,1610
N935AN,Boeing 737-823,Boeing,737-800,24,5649,1611
N935AT,Boeing 717-200,Boeing,717-200,24,5650,1612
N935DZ,Boeing 737-9GPER,Boeing,737-900ER,12,5651,1613
N935JB,Airbus A321-231,Airbus,A321-200,10,5652,1614
N935NK,Airbus A320neo,Airbus,A320neo,4,5653,1615
N935NN,Boeing 737-823,Boeing,737-800,11,5654,1616
N935WN,Boeing 737-7H4,Boeing,737-700,15,5655,1617
N935XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5656,1618
N936AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5657,1619
N936AN,Boeing 737-823,Boeing,737-800,24,5658,161A
N936AT,Boeing 717-200,Boeing,717-200,25,5659,161B
N936DZ,Boeing 737-900ER,Boeing,737-900ER,12,5660,161C
N936EV,Bombardier CRJ-200,Bombardier,CRJ-200,19,5661,161D
N936NK,Airbus A320neo,Airbus,A320neo,3,5662,161E
N936NN,Boeing 737-823,Boeing,737-800,11,5663,161F
N936WN,Boeing 737-7H4,Boeing,737-700,15,5664,1620
N936XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5665,1621
N937AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5666,1622
N937AN,Boeing 737-823,Boeing,737-800,24,5667,1623
N937AT,Boeing 717-200,Boeing,717-200,23,5668,1624
N937DZ,Boeing 737-900ER,Boeing,737-900ER,12,5669,1625
N937EV,Bombardier CRJ-200,Bombardier,CRJ-200,19,5670,1626
N937JB,Airbus A321-231,Airbus,A321-200,10,5671,1627
N937NK,Airbus A320neo,Airbus,A320neo,3,5672,1628
N937NN,Boeing 737-823,Boeing,737-800,11,5673,1629
N937WN,Boeing 737-7H4,Boeing,737-700,15,5674,162A
N937XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5675,162B
N938AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5676,162C
N938AN,Boeing 737-823,Boeing,737-800,24,5677,162D
N938AT,Boeing 717-200,Boeing,717-200,18,5678,162E
N938DZ,Boeing 737-900ER,Boeing,737-900ER,12,5679,162F
N938LR,Bombardier CRJ-900,Bombardier,CRJ-900,19,5680,1630
N938NK,Airbus A320neo,Airbus,A320neo,3,5681,1631
N938NN,Boeing 737-823,Boeing,737-800,11,5682,1632
N938WN,Boeing 737-7H4,Boeing,737-700,15,5683,1633
N939AE,Embraer EMB-145LR,Embraer,EMB-145LR,19,5684,1634
N939AN,Boeing 737-823,Boeing,737-800,24,5685,1635
N939AT,Boeing 717-200,Boeing,717-200,18,5686,1636
N939DZ,Boeing 737-900ER,Boeing,737-900ER,12,5687,1637
N939NK,Airbus A320neo,Airbus,A320neo,3,5688,1638
N939NN,Boeing 737-823,Boeing,737-800,11,5689,1639
N939SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5690,163A
N939WN,Boeing 737-7H4,Boeing,737-700,15,5691,163B
N940AN,Boeing 737-823,Boeing,737-800,24,5692,163C
N940AT,Boeing 717-200,Boeing,717-200,25,5693,163D
N940NK,Airbus A320neo,Airbus,A320neo,3,5694,163E
N940NN,Boeing 737-823,Boeing,737-800,11,5695,163F
N940WN,Boeing 737-7H4,Boeing,737-700,15,5696,1640
N941AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5697,1641
N941AN,Boeing 737-823,Boeing,737-800,24,5698,1642
N941DZ,Boeing 737-900ER,Boeing,737-900ER,12,5699,1643
N941LT,Embraer EMB-145LR,Embraer,EMB-145LR,19,5700,1644
N941NK,Airbus A320neo,Airbus,A320neo,3,5701,1645
N941NN,Boeing 737-823,Boeing,737-800,11,5702,1646
N941WN,Boeing 737-7H4,Boeing,737-700,15,5703,1647
N942AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5704,1648
N942AN,Boeing 737-823,Boeing,737-800,24,5705,1649
N942AT,Boeing 717-200,Boeing,717-200,25,5706,164A
N942DZ,Boeing 737-900ER,Boeing,737-900ER,12,5707,164B
N942JB,Airbus A321-231,Airbus,A321-200,10,5708,164C
N942LL,Embraer EMB-145LR,Embraer,EMB-145LR,19,5709,164D
N942NK,Airbus A320neo,Airbus,A320neo,3,5710,164E
N942NN,Boeing 737-823,Boeing,737-800,11,5711,164F
N942WN,Boeing 737-7H4,Boeing,737-700,15,5712,1650
N943AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5713,1651
N943AN,Boeing 737-823,Boeing,737-800,24,5714,1652
N943AT,Boeing 717-200,Boeing,717-200,25,5715,1653
N943DZ,Boeing 737-900ER,Boeing,737-900ER,11,5716,1654
N943JT,Airbus A321-231,Airbus,A321-200,10,5717,1655
N943LR,Bombardier CRJ-900,Bombardier,CRJ-900,18,5718,1656
N943NK,Airbus A320neo,Airbus,A320neo,3,5719,1657
N943NN,Boeing 737-823,Boeing,737-800,11,5720,1658
N943SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5721,1659
N943WN,Boeing 737-7H4,Boeing,737-700,14,5722,165A
N944AN,Boeing 737-823,Boeing,737-800,24,5723,165B
N944AT,Boeing 717-200,Boeing,717-200,25,5724,165C
N944JT,Airbus A321-231,Airbus,A321-200,10,5725,165D
N944LR,Bombardier CRJ-900,Bombardier,CRJ-900,18,5726,165E
N944NK,Airbus A320neo,Airbus,A320neo,3,5727,165F
N944NN,Boeing 737-823,Boeing,737-800,10,5728,1660
N944SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5729,1661
N944WN,Boeing 737-7H4,Boeing,737-700,14,5730,1662
N945AN,Boeing 737-823,Boeing,737-800,24,5731,1663
N945AT,Boeing 717-200,Boeing,717-200,25,5732,1664
N945DZ,Boeing 737-9GPER,Boeing,737-900ER,11,5733,1665
N945JT,Airbus A321-231,Airbus,A321-200,10,5734,1666
N945NK,Airbus A320neo,Airbus,A320neo,3,5735,1667
N945NN,Boeing 737-823,Boeing,737-800,10,5736,1668
N945SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5737,1669
N945WN,Boeing 737-7H4,Boeing,737-700,14,5738,166A
N946AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5739,166B
N946AN,Boeing 737-823,Boeing,737-800,24,5740,166C
