Registration,Aircraft,Brand,Type,Age,Key,Hex
,No Data,No Data,No Data,No Data,0,0000
N10156,Embraer EMB-145XR,Embraer,EMB-145XR,20,1,0001
N101DQ,Airbus A321-211,Airbus,A321-200,4,2,0002
N101DU,Airbus A220-100,Airbus,A220-100,6,3,0003
N101HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,4,0004
N101NN,Airbus A321-231,Airbus,A321-200,11,5,0005
N102DN,Airbus A321-211,Airbus,A321-200,4,6,0006
N102DU,Airbus A220-100,Airbus,A220-100,6,7,0007
N102HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,8,0008
N102NN,Airbus A321-231,Airbus,A321-200,11,9,0009
N102UW,Airbus A320-214,Airbus,A320-200,26,10,000A
N103DU,Airbus A220-100,Airbus,A220-100,6,11,000B
N103DY,Airbus A321-211,Airbus,A321-200,4,12,000C
N103HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,13,000D
N103NN,Airbus A321-231,Airbus,A321-200,11,14,000E
N103SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,15,000F
N103US,Airbus A320-214,Airbus,A320-200,25,16,0010
N104DN,Airbus A321-200,Airbus,A321-200,4,17,0011
N104DU,Airbus A220-100,Airbus,A220-100,6,18,0012
N104HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,19,0013
N104NN,Airbus A321-231,Airbus,A321-200,11,20,0014
N104UW,Airbus A320-214,Airbus,A320-200,25,21,0015
N105DU,Airbus A220-100,Airbus,A220-100,5,22,0016
N105DX,Airbus A321-211,Airbus,A321-200,4,23,0017
N105HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,24,0018
N105NK,Airbus Helicopters MBB-BK 117 C-2,Airbus Heli,MBB-BK 117 C-2,4,25,0019
N105NN,Airbus A321-231,Airbus,A321-200,11,26,001A
N105SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,27,001B
N105UW,Airbus A320-214,Airbus,A320-200,25,28,001C
N106DN,Airbus A321-211,Airbus,A321-200,4,29,001D
N106DU,Airbus A220-100,Airbus,A220-100,5,30,001E
N106HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,31,001F
N106NN,Airbus A321-231,Airbus,A321-200,10,32,0020
N106SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,33,0021
N107DN,Airbus A321-211,Airbus,A321-200,4,34,0022
N107DU,Airbus A220-100,Airbus,A220-100,5,35,0023
N107HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,36,0024
N107NN,Airbus A321-231,Airbus,A321-200,10,37,0025
N107SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,38,0026
N107US,Airbus A320-214,Airbus,A320-200,25,39,0027
N108DN,Airbus A321-211,Airbus,A321-200,3,40,0028
N108DQ,Airbus A220-100,Airbus,A220-100,5,41,0029
N108HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,42,002A
N108NN,Airbus A321-231,Airbus,A321-200,10,43,002B
N108SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,44,002C
N108UW,Airbus A320-214,Airbus,A320-200,25,45,002D
N109DN,Airbus A321-211,Airbus,A321-200,3,46,002E
N109DU,Airbus A220-100,Airbus,A220-100,5,47,002F
N109HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,48,0030
N109NN,Airbus A321-231,Airbus,A321-200,10,49,0031
N109SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,50,0032
N109UW,Airbus A320-214,Airbus,A320-200,25,51,0033
N110AN,Airbus A321-231,Airbus,A321-200,10,52,0034
N110DU,Airbus A220-100,Airbus,A220-100,5,53,0035
N110DX,Airbus A321-211,Airbus,A321-200,3,54,0036
N110HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,55,0037
N110SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,56,0038
N110UW,Airbus A320-214,Airbus,A320-200,25,57,0039
N11150,Embraer EMB-145XR,Embraer,EMB-145XR,21,58,003A
N11164,Embraer EMB-145XR,Embraer,EMB-145XR,20,59,003B
N11165,Embraer EMB-145XR,Embraer,EMB-145XR,20,60,003C
N11176,Embraer EMB-145XR,Embraer,EMB-145XR,20,61,003D
N11181,Embraer EMB-145XR,Embraer,EMB-145XR,19,62,003E
N11184,Embraer EMB-145XR,Embraer,EMB-145XR,19,63,003F
N11189,Embraer EMB-145XR,Embraer,EMB-145XR,19,64,0040
N11191,Embraer EMB-145XR,Embraer,EMB-145XR,19,65,0041
N11192,Embraer EMB-145XR,Embraer,EMB-145XR,19,66,0042
N11193,Embraer EMB-145XR,Embraer,EMB-145XR,19,67,0043
N11199,Embraer EMB-145XR,Embraer,EMB-145XR,18,68,0044
N111DC,Airbus A321-211,Airbus,A321-200,3,69,0045
N111HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,70,0046
N111NG,Airbus A220-100,Airbus,A220-100,5,71,0047
N111US,Airbus A320-214,Airbus,A320-200,25,72,0048
N111ZM,Airbus A321-231,Airbus,A321-200,10,73,0049
N11206,Boeing 737-824,Boeing,737-800,24,74,004A
N112AN,Airbus A321-231,Airbus,A321-200,10,75,004B
N112DN,Airbus A321-211,Airbus,A321-200,3,76,004C
N112DU,Airbus A220-100,Airbus,A220-100,5,77,004D
N112HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,78,004E
N112US,Airbus A320-214,Airbus,A320-200,25,79,004F
N113AN,Airbus A321-231,Airbus,A321-200,10,80,0050
N113DQ,Airbus A220-100,Airbus,A220-100,5,81,0051
N113DX,Airbus A321-211,Airbus,A321-200,3,82,0052
N113HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,83,0053
N113SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,84,0054
N114DN,Airbus A321-211,Airbus,A321-200,3,85,0055
N114DU,Airbus A220-100,Airbus,A220-100,5,86,0056
N114HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,87,0057
N114SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,88,0058
N114UW,Airbus A320-214,Airbus,A320-200,25,89,0059
N115DN,Airbus A321-211,Airbus,A321-200,3,90,005A
N115DU,Airbus A220-100,Airbus,A220-100,5,91,005B
N115HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,92,005C
N115NN,Airbus A321-231,Airbus,A321-200,10,93,005D
N116AN,Airbus A321-231,Airbus,A321-200,10,94,005E
N116DN,Airbus A321-211,Airbus,A321-200,3,95,005F
N116DU,Airbus A220-100,Airbus,A220-100,5,96,0060
N116HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,97,0061
N116SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,98,0062
N117AN,Airbus A321-231,Airbus,A321-200,10,99,0063
N117DU,Airbus A220-100,Airbus,A220-100,5,100,0064
N117DX,Airbus A321-211,Airbus,A321-200,3,101,0065
N117HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,102,0066
N117SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,103,0067
N117UW,Airbus A320-214,Airbus,A320-200,24,104,0068
N118DU,Airbus A220-100,Airbus,A220-100,5,105,0069
N118DY,Airbus A321-211,Airbus,A321-200,3,106,006A
N118HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,107,006B
N118NN,Airbus A321-231,Airbus,A321-200,10,108,006C
N118SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,109,006D
N118US,Airbus A320-214,Airbus,A320-200,24,110,006E
N119DN,Airbus A321-211,Airbus,A321-200,3,111,006F
N119DU,Airbus A220-100,Airbus,A220-100,5,112,0070
N119HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,113,0071
N119NN,Airbus A321-231,Airbus,A321-200,10,114,0072
N119SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,115,0073
N119US,Airbus A320-214,Airbus,A320-200,24,116,0074
N12003,Boeing 787-10 Dreamliner,Boeing,787-10,6,117,0075
N12004,Boeing 787-10 Dreamliner,Boeing,787-10,5,118,0076
N12005,Boeing 787-10 Dreamliner,Boeing,787-10,5,119,0077
N12006,Boeing 787-10 Dreamliner,Boeing,787-10,5,120,0078
N1200K,Boeing 767-332,Boeing,767-300,26,121,0079
N12010,Boeing 787-10 Dreamliner,Boeing,787-10,5,122,007A
N12012,Boeing 787-10 Dreamliner,Boeing,787-10,4,123,007B
N1201P,Boeing 767-332,Boeing,767-300,26,124,007C
N12020,Boeing 787-10 Dreamliner,Boeing,787-10,2,125,007D
N12021,Boeing 787-10 Dreamliner,Boeing,787-10,2,126,007E
N12028,Airbus A319-115,Airbus,A319-100,9,127,007F
N120DN,Airbus A321-211,Airbus,A321-200,3,128,0080
N120DU,Airbus A220-100,Airbus,A220-100,5,129,0081
N120EE,Airbus A321-231,Airbus,A321-200,10,130,0082
N120SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,131,0083
N12109,Boeing 757-224,Boeing,757-200,30,132,0084
N12114,Boeing 757-224,Boeing,757-200,29,133,0085
N12116,Boeing 757-224,Boeing,757-200,28,134,0086
N12125,Boeing 757-224,Boeing,757-200,26,135,0087
N12135,Embraer EMB-145XR,Embraer,EMB-145XR,21,136,0088
N12136,Embraer EMB-145XR,Embraer,EMB-145XR,21,137,0089
N12142,Embraer EMB-145XR,Embraer,EMB-145XR,21,138,008A
N12145,Embraer EMB-145XR,Embraer,EMB-145XR,21,139,008B
N12160,Embraer EMB-145XR,Embraer,EMB-145XR,20,140,008C
N12163,Embraer EMB-145XR,Embraer,EMB-145XR,20,141,008D
N12167,Embraer EMB-145XR,Embraer,EMB-145XR,20,142,008E
N12175,Embraer EMB-145XR,Embraer,EMB-145XR,20,143,008F
N12195,Embraer EMB-145XR,Embraer,EMB-145XR,19,144,0090
N121AN,Airbus A321-231,Airbus,A321-200,10,145,0091
N121DU,Airbus A220-100,Airbus,A220-100,5,146,0092
N121DZ,Airbus A321-211,Airbus,A321-200,3,147,0093
N121HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,148,0094
N121SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,149,0095
N121UW,Airbus A320-214,Airbus,A320-200,24,150,0096
N12201,Embraer EMB-145XR,Embraer,EMB-145XR,18,151,0097
N12216,Boeing 737-824,Boeing,737-800,26,152,0098
N12218,Boeing 737-824,Boeing,737-800,26,153,0099
N12221,Boeing 737-824,Boeing,737-800,26,154,009A
N12225,Boeing 737-824,Boeing,737-800,26,155,009B
N12238,Boeing 737-824,Boeing,737-800,25,156,009C
N122DN,Airbus A321-211,Airbus,A321-200,3,157,009D
N122DU,Airbus A220-100,Airbus,A220-100,5,158,009E
N122HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,159,009F
N122NN,Airbus A321-231,Airbus,A321-200,10,160,00A0
N122SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,161,00A1
N122US,Airbus A320-214,Airbus,A320-200,24,162,00A2
N123DQ,Airbus A220-100,Airbus,A220-100,5,163,00A3
N123DW,Airbus A321-211,Airbus,A321-200,3,164,00A4
N123HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,165,00A5
N123NN,Airbus A321-231,Airbus,A321-200,10,166,00A6
N123UW,Airbus A320-214,Airbus,A320-200,24,167,00A7
N124AA,Airbus A321-231,Airbus,A321-200,10,168,00A8
N124DU,Airbus A220-100,Airbus,A220-100,5,169,00A9
N124DX,Airbus A321-211,Airbus,A321-200,3,170,00AA
N124HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,171,00AB
N124SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,172,00AC
N124US,Airbus A320-214,Airbus,A320-200,24,173,00AD
N125AA,Airbus A321-231,Airbus,A321-200,10,174,00AE
N125DN,Airbus A321-211,Airbus,A321-200,3,175,00AF
N125DU,Airbus A220-100,Airbus,A220-100,5,176,00B0
N125SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,177,00B1
N125UW,Airbus A320-214,Airbus,A320-200,15,178,00B2
N126AN,Airbus A321-231,Airbus,A321-200,10,179,00B3
N126DN,Airbus A321-211,Airbus,A321-200,3,180,00B4
N126DU,Airbus A220-100,Airbus,A220-100,5,181,00B5
N126HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,182,00B6
N126UW,Airbus A320-214,Airbus,A320-200,15,183,00B7
N12754,Boeing 737-700,Boeing,737-700,22,184,00B8
N127AA,Airbus A321-231,Airbus,A321-200,10,185,00B9
N127DN,Airbus A321-211,Airbus,A321-200,3,186,00BA
N127DU,Airbus A220-100,Airbus,A220-100,5,187,00BB
N127HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,188,00BC
N127SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,189,00BD
N127UW,Airbus A320-214,Airbus,A320-200,14,190,00BE
N128AN,Airbus A321-231,Airbus,A321-200,10,191,00BF
N128DN,Airbus A321-211,Airbus,A321-200,3,192,00C0
N128DU,Airbus A220-100,Airbus,A220-100,5,193,00C1
N128HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,194,00C2
N128SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,195,00C3
N128UW,Airbus A320-214,Airbus,A320-200,14,196,00C4
N129AA,Airbus A321-231,Airbus,A321-200,10,197,00C5
N129DN,Airbus A321-211,Airbus,A321-200,3,198,00C6
N129DU,Airbus A220-100,Airbus,A220-100,4,199,00C7
N129HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,200,00C8
N13013,Boeing 787-10 Dreamliner,Boeing,787-10,4,201,00C9
N13014,Boeing 787-10 Dreamliner,Boeing,787-10,1,202,00CA
N13018,Boeing 787-10 Dreamliner,Boeing,787-10,2,203,00CB
N130AN,Airbus A321-231,Airbus,A321-200,10,204,00CC
N130DU,Airbus A220-100,Airbus,A220-100,4,205,00CD
N130SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,206,00CE
N13110,Boeing 757-224,Boeing,757-200,30,207,00CF
N13113,Boeing 757-224,Boeing,757-200,29,208,00D0
N13124,Embraer EMB-145XR,Embraer,EMB-145XR,21,209,00D1
N13138,Boeing 757-224,Boeing,757-200,25,210,00D2
N13161,Embraer EMB-145XR,Embraer,EMB-145XR,20,211,00D3
N131DU,Airbus A220-100,Airbus,A220-100,4,212,00D4
N131EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,213,00D5
N131HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,214,00D6
N131NN,Airbus A321-231,Airbus,A321-200,9,215,00D7
N131SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,216,00D8
N13202,Embraer EMB-145XR,Embraer,EMB-145XR,18,217,00D9
N13227,Boeing 737-824,Boeing,737-800,25,218,00DA
N13248,Boeing 737-824,Boeing,737-800,25,219,00DB
N132AN,Airbus A321-231,Airbus,A321-200,9,220,00DC
N132DU,Airbus A220-100,Airbus,A220-100,4,221,00DD
N132EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,222,00DE
N132HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,223,00DF
N132SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,224,00E0
N133AN,Airbus A321-231,Airbus,A321-200,9,225,00E1
N133DU,Airbus A220-100,Airbus,A220-100,4,226,00E2
N133EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,227,00E3
N133HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,228,00E4
N133SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,229,00E5
N134AN,Airbus A321-231,Airbus,A321-200,9,230,00E6
N134DU,Airbus A220-100,Airbus,A220-100,4,231,00E7
N134EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,232,00E8
N134HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,233,00E9
N134SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,234,00EA
N135DQ,Airbus A220-100,Airbus,A220-100,4,235,00EB
N135EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,236,00EC
N135HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,237,00ED
N135NK,Eurocopter EC 135 P2+,Eurocopter,EC 135 P2+,18,238,00EE
N135NN,Airbus A321-231,Airbus,A321-200,9,239,00EF
N135SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,240,00F0
N136AN,Airbus A321-231,Airbus,A321-200,9,241,00F1
N136DQ,Airbus A220-100,Airbus,A220-100,4,242,00F2
N136EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,243,00F3
N136HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,244,00F4
N136SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,245,00F5
N13716,Boeing 737-724,Boeing,737-700,26,246,00F6
N13718,Boeing 737-724,Boeing,737-700,25,247,00F7
N13720,Boeing 737-724,Boeing,737-700,25,248,00F8
N13750,Boeing 737-724,Boeing,737-700,25,249,00F9
N137AA,Airbus A321-231,Airbus,A321-200,9,250,00FA
N137DU,Airbus A220-100,Airbus,A220-100,4,251,00FB
N137EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,252,00FC
N137HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,253,00FD
N138AN,Airbus A321-231,Airbus,A321-200,9,254,00FE
N138DU,Airbus A220-100,Airbus,A220-100,4,255,00FF
N138EV,Bombardier CRJ-900,Bombardier,CRJ-900,15,256,0100
N138HQ,Embraer ERJ 175LR,Embraer,ERJ 175LR,16,257,0101
N138SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,258,0102
N13954,Boeing 787-9 Dreamliner,Boeing,787-9,9,259,0103
N139AN,Airbus A321-231,Airbus,A321-200,9,260,0104
N139DU,Airbus A220-100,Airbus,A220-100,3,261,0105
N139SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,262,0106
N14001,Boeing 787-10 Dreamliner,Boeing,787-10,6,263,0107
N14011,Boeing 787-10 Dreamliner,Boeing,787-10,5,264,0108
N14016,Boeing 787-10 Dreamliner,Boeing,787-10,2,265,0109
N14019,Boeing 787-10 Dreamliner,Boeing,787-10,2,266,010A
N140AN,Airbus A321-231,Airbus,A321-200,9,267,010B
N140DU,Airbus A220-100,Airbus,A220-100,3,268,010C
N140SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,269,010D
N14102,Boeing 757-224,Boeing,757-200,30,270,010E
N14106,Boeing 757-224,Boeing,757-200,30,271,010F
N14107,Boeing 757-224,Boeing,757-200,30,272,0110
N14115,Boeing 757-224,Boeing,757-200,29,273,0111
N14118,Boeing 757-224,Boeing,757-200,27,274,0112
N14120,Boeing 757-224,Boeing,757-200,27,275,0113
N14125,Embraer EMB-145XR,Embraer,EMB-145XR,21,276,0114
N14143,Embraer EMB-145XR,Embraer,EMB-145XR,21,277,0115
N14148,Embraer EMB-145XR,Embraer,EMB-145XR,21,278,0116
N14153,Embraer EMB-145XR,Embraer,EMB-145XR,21,279,0117
N14158,Embraer EMB-145XR,Embraer,EMB-145XR,20,280,0118
N14162,Embraer EMB-145XR,Embraer,EMB-145XR,20,281,0119
N14168,Embraer EMB-145XR,Embraer,EMB-145XR,20,282,011A
N14173,Embraer EMB-145XR,Embraer,EMB-145XR,20,283,011B
N14174,Embraer EMB-145XR,Embraer,EMB-145XR,20,284,011C
N14177,Embraer EMB-145XR,Embraer,EMB-145XR,19,285,011D
N14179,Embraer EMB-145XR,Embraer,EMB-145XR,19,286,011E
N14180,Embraer EMB-145XR,Embraer,EMB-145XR,19,287,011F
N14186,Embraer EMB-145XR,Embraer,EMB-145XR,19,288,0120
N14188,Embraer EMB-145XR,Embraer,EMB-145XR,19,289,0121
N14198,Embraer EMB-145XR,Embraer,EMB-145XR,18,290,0122
N141DU,Airbus A220-100,Airbus,A220-100,3,291,0123
N141NN,Airbus A321-231,Airbus,A321-200,9,292,0124
N141SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,293,0125
N14203,Embraer EMB-145XR,Embraer,EMB-145XR,18,294,0126
N14214,Boeing 737-824,Boeing,737-800,26,295,0127
N14219,Boeing 737-824,Boeing,737-800,26,296,0128
N14228,Boeing 737-824,Boeing,737-800,25,297,0129
N14230,Boeing 737-824,Boeing,737-800,25,298,012A
N14231,Boeing 737-824,Boeing,737-800,25,299,012B
N14235,Boeing 737-824,Boeing,737-800,25,300,012C
N14237,Boeing 737-824,Boeing,737-800,25,301,012D
N14240,Boeing 737-824,Boeing,737-800,25,302,012E
N14242,Boeing 737-824,Boeing,737-800,25,303,012F
N14249,Boeing 737-824,Boeing,737-800,25,304,0130
N14250,Boeing 737-824,Boeing,737-800,25,305,0131
N142AN,Airbus A321-231,Airbus,A321-200,9,306,0132
N142DU,Airbus A220-100,Airbus,A220-100,2,307,0133
N142SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,308,0134
N143AN,Airbus A321-231,Airbus,A321-200,9,309,0135
N143DU,Airbus A220-100,Airbus,A220-100,2,310,0136
N143SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,311,0137
N144AN,Airbus A321-231,Airbus,A321-200,9,312,0138
N144DU,Airbus A220-100,Airbus,A220-100,2,313,0139
N144SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,314,013A
N14502,Airbus A321neo,Airbus,A321neo,1,315,013B
N145AN,Airbus A321-231,Airbus,A321-200,9,316,013C
N145DQ,Airbus A220-100,Airbus,A220-100,2,317,013D
N145SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,318,013E
N146AA,Airbus A321-231,Airbus,A321-200,9,319,013F
N146PQ,Bombardier CRJ-900,Bombardier,CRJ-900,17,320,0140
N146SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,321,0141
N14704,Boeing 737-724,Boeing,737-700,26,322,0142
N14731,Boeing 737-724,Boeing,737-700,25,323,0143
N14735,Boeing 737-724,Boeing,737-700,25,324,0144
N147AA,Airbus A321-231,Airbus,A321-200,9,325,0145
N147PQ,Bombardier CRJ-900,Bombardier,CRJ-900,17,326,0146
N148AN,Airbus A321-231,Airbus,A321-200,9,327,0147
N148SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,328,0148
N149AN,Airbus A321-231,Airbus,A321-200,9,329,0149
N149SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,330,014A
N150NN,Airbus A321-231,Airbus,A321-200,9,331,014B
N150SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,332,014C
N150UW,Airbus A321-211,Airbus,A321-200,11,333,014D
N151AN,Airbus A321-231,Airbus,A321-200,9,334,014E
N151SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,9,335,014F
N151UW,Airbus A321-211,Airbus,A321-200,11,336,0150
N152AA,Airbus A321-231,Airbus,A321-200,9,337,0151
N152NK,No Data,No Data,No Data,0,338,0152
N152SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,339,0153
N152UW,Airbus A321-211,Airbus,A321-200,11,340,0154
N153AN,Airbus A321-231,Airbus,A321-200,9,341,0155
N153PQ,Bombardier CRJ-900,Bombardier,CRJ-900,17,342,0156
N153SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,343,0157
N153UW,Airbus A321-211,Airbus,A321-200,11,344,0158
N154AA,Airbus A321-231,Airbus,A321-200,8,345,0159
N154SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,346,015A
N154UW,Airbus A321-211,Airbus,A321-200,11,347,015B
N155NN,Airbus A321-231,Airbus,A321-200,8,348,015C
N155UW,Airbus A321-211,Airbus,A321-200,11,349,015D
N156AN,Airbus A321-231,Airbus,A321-200,8,350,015E
N156SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,351,015F
N156UW,Airbus A321-211,Airbus,A321-200,11,352,0160
N15710,Boeing 737-724,Boeing,737-700,26,353,0161
N15712,Boeing 737-724,Boeing,737-700,26,354,0162
N15751,Boeing 737-71Q,Boeing,737-700,25,355,0163
N157AA,Airbus A321-231,Airbus,A321-200,8,356,0164
N157SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,357,0165
N157UW,Airbus A321-211,Airbus,A321-200,11,358,0166
N158AN,Airbus A321-231,Airbus,A321-200,8,359,0167
N15969,Boeing 787-9 Dreamliner,Boeing,787-9,7,360,0168
N159AN,Airbus A321-231,Airbus,A321-200,8,361,0169
N16008,Boeing 787-10 Dreamliner,Boeing,787-10,5,362,016A
N16009,Boeing 787-10 Dreamliner,Boeing,787-10,5,363,016B
N1602,Boeing 767-332,Boeing,767-300,25,364,016C
N1603,Boeing 767-332,Boeing,767-300,25,365,016D
N1604R,Boeing 767-332,Boeing,767-300,25,366,016E
N1605,Boeing 767-332,Boeing,767-300,25,367,016F
N16065,Boeing 767-332,Boeing,767-300,25,368,0170
N160AN,Airbus A321-231,Airbus,A321-200,8,369,0171
N160SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,370,0172
N16147,Embraer EMB-145XR,Embraer,EMB-145XR,21,371,0173
N16149,Embraer EMB-145XR,Embraer,EMB-145XR,21,372,0174
N16151,Embraer EMB-145XR,Embraer,EMB-145XR,21,373,0175
N16170,Embraer EMB-145XR,Embraer,EMB-145XR,20,374,0176
N16178,Embraer EMB-145XR,Embraer,EMB-145XR,19,375,0177
N16183,Embraer EMB-145XR,Embraer,EMB-145XR,19,376,0178
N161AA,Airbus A321-231,Airbus,A321-200,8,377,0179
N161PQ,Bombardier CRJ-900,Bombardier,CRJ-900,16,378,017A
N161SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,379,017B
N161UW,Airbus A321-211,Airbus,A321-200,23,380,017C
N16217,Boeing 737-824,Boeing,737-800,26,381,017D
N16234,Boeing 737-824,Boeing,737-800,25,382,017E
N162AA,Airbus A321-231,Airbus,A321-200,8,383,017F
N162PQ,Bombardier CRJ-900,Bombardier,CRJ-900,16,384,0180
N162SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,385,0181
N162UW,Airbus A321-211,Airbus,A321-200,23,386,0182
N163AA,Airbus A321-231,Airbus,A321-200,8,387,0183
N163SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,388,0184
N163US,Airbus A321-211,Airbus,A321-200,23,389,0185
N164NN,Airbus A321-231,Airbus,A321-200,8,390,0186
N164SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,391,0187
N165NN,Airbus A321-231,Airbus,A321-200,8,392,0188
N165SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,393,0189
N165US,Airbus A321-211,Airbus,A321-200,23,394,018A
N166NN,Airbus A321-231,Airbus,A321-200,8,395,018B
N166PQ,Bombardier CRJ-900,Bombardier,CRJ-900,16,396,018C
N166SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,397,018D
N16701,Boeing 737-724,Boeing,737-700,26,398,018E
N16703,Boeing 737-724,Boeing,737-700,26,399,018F
N16709,Boeing 737-724,Boeing,737-700,26,400,0190
N16713,Boeing 737-724,Boeing,737-700,26,401,0191
N16732,Boeing 737-724,Boeing,737-700,25,402,0192
N167AN,Airbus A321-231,Airbus,A321-200,8,403,0193
N167SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,404,0194
N167US,Airbus A321-211,Airbus,A321-200,23,405,0195
N168SY,Embraer ERJ 175LR,Embraer,ERJ 175LR,8,406,0196
N169DZ,Boeing 767-332,Boeing,767-300,26,407,0197
N169UW,Airbus A321-211,Airbus,A321-200,23,408,0198
N17002,Boeing 787-10 Dreamliner,Boeing,787-10,6,409,0199
N17015,Boeing 787-10 Dreamliner,Boeing,787-10,1,410,019A
N17017,Boeing 787-10 Dreamliner,Boeing,787-10,2,411,019B
