Name,City,ISO-3166,Country,IATA,Latitude,Longitude,Key,Hex
Monte Caseros Airport,Monte Caseros,AR,Argentina,MCS,-30.2719,-57.6402,105,0069
Ástor Piazzola International Airport,Mar Del Plata,AR,Argentina,MDQ,-37.9342,-57.5733,106,006A
El Plumerillo Airport,Mendoza,AR,Argentina,MDZ,-32.8317,-68.7929,107,006B
Sunchales Aeroclub Airport,Sunchales,AR,Argentina,NCJ,-30.9575,-61.5283,108,006C
Necochea Airport,Necochea,AR,Argentina,NEC,-38.4831,-58.8172,109,006D
Presidente Peron Airport,Neuquen,AR,Argentina,NQN,-38.949,-68.1557,110,006E
Antoine de Saint Exupéry Airport,San Antonio Oeste,AR,Argentina,OES,-40.7512,-65.0343,111,006F
Orán Airport,Oran,AR,Argentina,ORA,-23.1528,-64.3292,112,0070
Olavarria Airport,Olavarria,AR,Argentina,OVR,-36.89,-60.2166,113,0071
Goya Airport,Goya,AR,Argentina,OYA,-29.1058,-59.2189,114,0072
Tres Arroyos Airport,Tres Arroyos,AR,Argentina,OYO,-38.3869,-60.3297,115,0073
Comodoro Pedro Zanni Airport,Pehuajo,AR,Argentina,PEH,-35.8446,-61.8576,116,0074
Perito Moreno Airport,Perito Moreno,AR,Argentina,PMQ,-46.5379,-70.9787,117,0075
El Tehuelche Airport,Puerto Madryn,AR,Argentina,PMY,-42.7592,-65.1027,118,0076
General Urquiza Airport,Parana,AR,Argentina,PRA,-31.7948,-60.4804,119,0077
Termal Airport,Presidencia R.s.pena,AR,Argentina,PRQ,-26.7536,-60.4922,120,0078
Libertador Gral D Jose De San Martin Airport,Posadas,AR,Argentina,PSS,-27.3858,-55.9707,121,0079
Puerto Deseado Airport,Puerto Deseado,AR,Argentina,PUD,-47.7353,-65.9041,122,007A
Reconquista Airport,Reconquista,AR,Argentina,RCQ,-29.2103,-59.68,123,007B
Area De Material Airport,Rio Cuarto,AR,Argentina,RCU,-33.0851,-64.2613,124,007C
Rincon De Los Sauces Airport,Rincon de los Sauces,AR,Argentina,RDS,-37.3906,-68.9042,125,007D
Almirante Marco Andres Zar Airport,Trelew,AR,Argentina,REL,-43.2105,-65.2703,126,007E
Resistencia International Airport,Resistencia,AR,Argentina,RES,-27.45,-59.0561,127,007F
Hermes Quijada International Airport,Rio Grande,AR,Argentina,RGA,-53.7777,-67.7494,128,0080
Piloto Civil N. Fernández Airport,Rio Gallegos,AR,Argentina,RGL,-51.6089,-69.3126,129,0081
Termas de Río Hondo international Airport,Rio Hondo,AR,Argentina,RHD,-27.4966,-64.936,130,0082
Valle del Conlara Airport,Merlo,AR,Argentina,RLO,-32.3847,-65.1865,131,0083
Islas Malvinas Airport,Rosario,AR,Argentina,ROS,-32.9036,-60.785,132,0084
Santa Rosa Airport,Santa Rosa,AR,Argentina,RSA,-36.5883,-64.2757,133,0085
Santa Cruz Airport,Santa Cruz,AR,Argentina,RZA,-50.0165,-68.5792,134,0086
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,AR,Argentina,SDE,-27.7656,-64.31,135,0087
Sauce Viejo Airport,Santa Fe,AR,Argentina,SFN,-31.7117,-60.8117,136,0088
Sierra Grande Airport,Sierra Grande,AR,Argentina,SGV,-41.5917,-65.3394,137,0089
Martin Miguel De Guemes International Airport,Salta,AR,Argentina,SLA,-24.856,-65.4862,138,008A
Santa Teresita Airport,Santa Teresita,AR,Argentina,SST,-36.5423,-56.7218,139,008B
